,open,high,low,close,volume,vwap,timestamp,transactions,otc,dt,stk_close,iv
204,4.03,4.03,3.79,3.82,113,3.9799,1748024400000,28,,2025-05-23 18:20:00,195.58,0.33855552494208974
205,4.03,4.1,3.75,3.96,21,3.899,1748024460000,11,,2025-05-23 18:21:00,195.44,0.3593590891816081
206,3.96,4.05,3.86,4.05,37,3.9538,1748024520000,20,,2025-05-23 18:22:00,195.46,0.3670646765762946
207,3.95,4.1,3.95,4.06,29,4.0097,1748024580000,23,,2025-05-23 18:23:00,195.635,0.3589988938488855
208,4.05,4.1,4.05,4.1,27,4.0567,1748024640000,5,,2025-05-23 18:24:00,195.96,0.345698361360089
209,4.2,4.2,4.05,4.05,62,4.1881,1748024700000,5,,2025-05-23 18:25:00,195.74,0.35256711417225306
210,4.1,4.15,4.1,4.1,9,4.1222,1748024760000,6,,2025-05-23 18:26:00,195.76,0.3563812263808702
211,4.04,4.05,4.03,4.03,8,4.0463,1748024820000,4,,2025-05-23 18:27:00,195.85,0.344840969034923
212,4.05,4.05,3.95,3.95,73,4.0404,1748024880000,5,,2025-05-23 18:28:00,195.68,0.3460809792843986
213,3.95,3.97,3.95,3.95,55,3.9507,1748024940000,7,,2025-05-23 18:29:00,195.74,0.34294438296683594
214,4.05,4.05,4.05,4.05,5,4.05,1748025000000,1,,2025-05-23 18:30:00,195.7759,0.3507691104200822
215,3.95,3.95,3.9,3.91,75,3.9155,1748025060000,14,,2025-05-23 18:31:00,195.58,0.3474811030196928
216,3.9,4.0,3.87,3.92,23,3.9135,1748025120000,12,,2025-05-23 18:32:00,195.45,0.3551865382612056
217,3.95,3.95,3.84,3.85,34,3.8521,1748025180000,14,,2025-05-23 18:33:00,195.425,0.34970863078022796
218,3.88,4.0,3.85,3.98,42,3.8995,1748025240000,19,,2025-05-23 18:34:00,195.505,0.35820598285861815
219,4.0,4.1,4.0,4.0,22,4.0218,1748025300000,11,,2025-05-23 18:35:00,195.7802,0.34578463692796935
220,4.1,4.1,4.1,4.1,16,4.1,1748025360000,3,,2025-05-23 18:36:00,195.82,0.3534016605024739
221,4.1,4.1,4.02,4.02,54,4.0956,1748025420000,8,,2025-05-23 18:37:00,195.725,0.35067685781911595
222,4.01,4.01,3.99,3.99,32,3.9934,1748025480000,7,,2025-05-23 18:38:00,195.58,0.3553693650100531
223,3.96,4.05,3.96,4.0,35,3.9843,1748025540000,19,,2025-05-23 18:39:00,195.613,0.3546411171917432
224,4.05,4.05,3.99,4.05,12,4.045,1748025600000,3,,2025-05-23 18:40:00,195.61,0.35966497771494954
225,4.05,4.1,4.0,4.07,57,4.0409,1748025660000,12,,2025-05-23 18:41:00,195.665,0.35875327888774655
226,4.05,4.1,4.04,4.1,197,4.0757,1748025720000,14,,2025-05-23 18:42:00,195.795,0.3548423049684897
227,4.1,4.12,4.09,4.12,12,4.1075,1748025780000,4,,2025-05-23 18:43:00,195.7754,0.3578398409267919
228,4.07,4.07,4.05,4.07,9,4.0656,1748025840000,4,,2025-05-23 18:44:00,195.66,0.3590735699707037
229,4.05,4.05,4.05,4.05,1,4.05,1748025900000,1,,2025-05-23 18:45:00,195.64,0.3581983543811793
230,4.0,4.0,3.94,3.94,16,3.9494,1748025960000,7,,2025-05-23 18:46:00,195.475,0.35610985360929615
231,3.91,3.91,3.89,3.89,42,3.8976,1748026020000,13,,2025-05-23 18:47:00,195.375,0.356412927905681
232,3.9,3.95,3.87,3.93,76,3.9089,1748026080000,11,,2025-05-23 18:48:00,195.4686,0.3555088572265165
233,3.93,4.0,3.9,3.96,30,3.9477,1748026140000,16,,2025-05-23 18:49:00,195.53,0.3552669085071716
234,3.96,3.96,3.91,3.91,23,3.9457,1748026200000,7,,2025-05-23 18:50:00,195.51,0.3514719693776539
235,3.93,4.03,3.93,4.03,16,3.9644,1748026260000,9,,2025-05-23 18:51:00,195.69,0.3537561304022726
236,4.05,4.05,4.0,4.0,37,4.0216,1748026320000,6,,2025-05-23 18:52:00,195.63,0.35400552842972743
237,4.0,4.0,4.0,4.0,19,4.0,1748026380000,1,,2025-05-23 18:53:00,195.65,0.3529792758393093
238,4.0,4.0,4.0,4.0,4,4.0,1748026440000,4,,2025-05-23 18:54:00,195.68,0.3514264645093088
239,4.05,4.08,4.05,4.08,13,4.0531,1748026500000,4,,2025-05-23 18:55:00,195.81,0.35235558259702937
240,4.03,4.05,4.03,4.05,6,4.04,1748026560000,4,,2025-05-23 18:56:00,195.59,0.3610205017230267
241,3.95,3.95,3.95,3.95,10,3.95,1748026620000,1,,2025-05-23 18:57:00,195.4954,0.3562412754268143
242,3.9,3.9,3.85,3.85,11,3.8818,1748026680000,7,,2025-05-23 18:58:00,195.46,0.348385722337044
243,3.85,3.91,3.85,3.91,55,3.8949,1748026740000,5,,2025-05-23 18:59:00,195.525,0.3508683293485808
244,3.9,3.9,3.85,3.85,4,3.875,1748026800000,3,,2025-05-23 19:00:00,195.4693,0.3479444553261519
245,3.87,3.87,3.82,3.82,66,3.8568,1748026860000,6,,2025-05-23 19:01:00,195.355,0.3509177775825476
246,3.8,3.8,3.7,3.75,34,3.7253,1748026920000,14,,2025-05-23 19:02:00,195.3089,0.34649672407786203
247,3.8,3.85,3.8,3.84,65,3.8092,1748026980000,4,,2025-05-23 19:03:00,195.37,0.3521298452666516
248,3.86,3.9,3.79,3.79,24,3.8467,1748027040000,19,,2025-05-23 19:04:00,195.26,0.3528964186203559
249,3.81,3.81,3.81,3.81,1,3.81,1748027100000,1,,2025-05-23 19:05:00,195.2,0.3578868417741812
250,3.8,3.9,3.77,3.85,63,3.8016,1748027160000,22,,2025-05-23 19:06:00,195.36,0.3536688268499696
251,3.85,3.95,3.85,3.95,67,3.9354,1748027220000,15,,2025-05-23 19:07:00,195.62,0.3499623838104532
252,4.0,4.0,3.98,3.98,8,3.9925,1748027280000,2,,2025-05-23 19:08:00,195.5701,0.35549591826236604
253,4.04,4.05,4.04,4.05,14,4.0464,1748027400000,4,,2025-05-23 19:10:00,195.695,0.35580423183484644
254,4.1,4.1,4.09,4.1,34,4.0974,1748027460000,4,,2025-05-23 19:11:00,195.83,0.3535460974567849
255,4.05,4.05,4.05,4.05,1,4.05,1748027520000,1,,2025-05-23 19:12:00,195.835,0.3484351420045134
256,4.07,4.07,4.0,4.0,46,4.0028,1748027580000,7,,2025-05-23 19:13:00,195.7,0.35074009881948665
257,3.95,3.97,3.95,3.97,11,3.9682,1748027640000,3,,2025-05-23 19:14:00,195.685,0.34863239464242024
258,3.93,3.95,3.86,3.9,14,3.8979,1748027700000,10,,2025-05-23 19:15:00,195.52,0.35046343951911885
259,3.89,3.9,3.85,3.9,107,3.8921,1748027760000,30,,2025-05-23 19:16:00,195.4928,0.35189052051601555
260,3.89,3.95,3.89,3.95,43,3.9158,1748027820000,12,,2025-05-23 19:17:00,195.58,0.3522412556212271
261,3.92,3.95,3.91,3.95,14,3.9307,1748027880000,4,,2025-05-23 19:18:00,195.5,0.3564126938455463
262,3.86,3.87,3.85,3.85,7,3.8543,1748027940000,3,,2025-05-23 19:19:00,195.4449,0.3495643022760875
263,3.87,3.9,3.8,3.86,26,3.8369,1748028000000,7,,2025-05-23 19:20:00,195.385,0.3536313612936629
264,3.85,3.9,3.84,3.84,23,3.8557,1748028060000,15,,2025-05-23 19:21:00,195.3208,0.354988917593
265,3.8,3.81,3.75,3.81,166,3.7914,1748028120000,19,,2025-05-23 19:22:00,195.325,0.35188146229081063
266,3.85,3.9,3.77,3.85,48,3.8373,1748028180000,23,,2025-05-23 19:23:00,195.31,0.35654884902337247
